IssueID,Issue,Participant ID,If get critized,If critized others,Comments,"1 (not at all specific to VA systems, e.g., generic paper-writing issues) to 7 (extremely specific to VA systems)",Do you think this problem is related to others?
1,Lacking arcs of coherence and consistency,1,N,Y,"This is a problem, but not major. As long as maintaining the overall framework.",1,
2,Unclear relevance to visual analytics,1,N,Y,,7,
3,Unclear/over-claimed contributions,1,Y,Y,,1,This is related to literature view
4,Unclear contributions to the visualization community,1,N,Y,This is a major problem espeically when there are no technical novelties in the system. Such systems look like a grab-bag of different components and are hard to be appreciated by visualization researchers.,1,
5,Unclear novelty of VA systems,1,Y,Y,I tend to give a borderline assessment score for systems with simple designs.,7,
6,Missing related work,1,Y,Y,,1,
7,Inadequate discussion about related work,1,Y,Y,Writing issues,1,
8,Unclear domain experts or target users,1,Y,Y,Important to clarify.,5,
9,Unclear methodology and methods for problem abstraction,1,Y,Y,This part is kinda templated. Just follow the common protocols to report.,6,
10,Insufficient abstraction,1,Y,Y,This is very case-by-case. Different domain problems have varying levels of granularity - some are hard to be abstracted.,5,
11,Unclear definitions and explanations of data,1,Y,Y,"Must-to-have. Have a list of data entries, types, etc.",5,
12,Missing technical details,1,Y,Y,"Sometimes writing issues. Do not follow a clear logic flow to describe the techniques, resulting in a poor description.",1,
13,Novel data processing algorithms,1,Y,N,A bonus.,6,
14,Unclear justifications of algorithms/models,1,Y,Y,Avoid using magic numbers.,2,
15,Missing details and insufficient explanations of visual designs,1,Y,Y,,1,
16,Unclear novelty of visual design,1,Y,Y,"It depends on whether this kind of design has been applied to the corresponding data/task or not. If the data/task is new, novel designs are not necessary.",1,
17,Unclear rationale and insufficient justifications of visual designs,1,Y,Y,Defensive writing. Discuss both the pros and cons. Discuss how to reach the final decision by balancing tradeoffs.,1,
18,Problematic visual designs,1,N,Y,Dark-mode VA systems are bad.,1,
19,Missing discussions about alternative designs,1,N,Y,"This needs to be done in a systematic way. Starting from a design space (e.g., circular or square). Explaining how the chosen design pops out from the design space. The alternative designs should not come from nowhere.",1,
20,Over-complicated visual designs,1,Y,Y,It depends on the complexity of the problem.,6,
21,Lacking workflow overviews or system demonstration,1,Y,Y,,4,
22,Uncertainty/stability/sensibility,1,N,N,It is a fairly important problem. Uncertainty can influence the user experience and their analytical progress. Parameter selections are also important.,1,
23,Scalability,1,Y,Y,It depends on the analytical problem - some problems require scalability while some do not.,1,
24,Generalizability,1,Y,Y,,5,
25,Usability,1,Y,Y,,4,Related to system complexity.
26,Evaluations are incomplete and insufficient,1,Y,Y,"Our current evaluation method is not very rigorous. But I cannot find better methods. Evaluating VA systems is too challenging. Probably we can conduct field evaluation, asking the users to use the VA system for an extended period.",1,
27,Unclear evaluation methods and protocols,1,N,Y,,1,
28,Lacking realism,1,N,Y,,6,
29,Lacking comparison with baseline approaches,1,N,Y,The comparison needs to be feasible and comparable. Otherwise the comparison does not make strong sense.,1,
30,Lacking quantitative evaluation and feedback,1,N,N,,2,
31,Insights are suspicious or not new,1,Y,N,Insights are not always straightforward.,5,
32,Unclear interpretation of expert feedback,1,Y,N,,6,
33,Insufficient discussions on limitations and implications,1,Y,N,"The implication is supported by anecdote evidence. I wonder to which degree are they ""correct""?",1,
34,Various presentation issues,1,Y,Y,,1,
35,Ethics,1,N,N,right of portrait,1,
36,Open-source,1,N,N,"Algorithms can be open-sourced. It is hard and less useful to open-source complex systems. Consider modularization. I think it is easy to reproduce visualization designs, but I would appreciate it if authors shared the codes.",1,
1,Lacking arcs of coherence and consistency,2,N,Y,Need to main a good story. The design can cover all tasks. The case studies cover all designs. ,7,
2,Unclear relevance to visual analytics,2,N,N,Some works only visualized results by the algorithm. This is not VA.,7,
3,Unclear/over-claimed contributions,2,Y,Y,,1,
4,Unclear contributions to the visualization community,2,N,Y,It is a contribution to firstly apply VA systems to a kind of application domains.,4,
5,Unclear novelty of VA systems,2,N,Y,Application papers do not need novel visualizations.,4,
6,Missing related work,2,Y,Y,,1,
7,Inadequate discussion about related work,2,Y,Y,,1,
8,Unclear domain experts or target users,2,N,Y,,7,
9,Unclear methodology and methods for problem abstraction,2,Y,Y,I paid less attention to this part when writing my own research due to the page limits.,7,
10,Insufficient abstraction,2,Y,Y,The terms and concepts here are not clear. Hard to differentiate between domain-specific and visualization-specific terms.,5,
11,Unclear definitions and explanations of data,2,N,Y,It is better to provide an example of the dataset in a table or figure.,5,
12,Missing technical details,2,Y,Y,Some information might not be common sense to the readers.,1,
13,Novel data processing algorithms,2,N,N,Not important to me.,6,
14,Unclear justifications of algorithms/models,2,Y,Y,,6,
15,Missing details and insufficient explanations of visual designs,2,Y,Y,The figures need to be self-explanatory.,4,
