DOI,Year,Authors,Title,PdfName
10.1109/TVCG.2021.3114797,2021,"Joscha Eirich (University of Bamberg, Bmw Group), Jakob Bonart (Fraunhofer IWU, BMW Group), Dominik Jäckle (BMW Group), Michael Sedlmair (University of Stuttgart), Ute Schmid (University of Bamberg), Kai Fischbach (University of Bamberg), Tobias Schreck (Graz University of Technology), Jürgen Bernard (University of Zurich)",IRVINE: A Design Study on Analyzing Correlation Patterns of Electrical Engines,111100a011.pdf
10.1109/TVCG.2021.3114812,2021,"Jiansu Pu (University of Electronic Science and Technology (UESTC), Chengdu, China), Hui Shao (University of Electronic Science and Technology (UESTC), Chengdu, China), Boyang Gao (University of Electronic Science and Technology (UESTC), Chengdu, China), Zhengguo Zhu (University of Electronic Science and Technology (UESTC), Chengdu, China), Yanlin Zhu (Clean Energy Research Institute, China), Yunbo Rao (University of Electronic Science and Technology of China(UESTC), Chengdu, Sichuan, China), Yong Xiang (University of Electronic Science and Technology, Chengdu, China)",matExplorer: Visual Exploration on Predicting Ionic Conductivity for Solid-State Electrolytes,111100a065.pdf
10.1109/TVCG.2021.3114861,2021,"Xiangtong Chu (Zhejiang University, China), Xiao Xie (Zhejiang University, China), Shuainan Ye (Zhejiang University, China), Haolin Lu (Zhejiang University, China), Hongguang Xiao (Zhejiang University, China), Zeqing Yuan (Zhejiang University, China), Zhutian Chen (University of California San Diego, America), Hui Zhang (Zhejiang University, China), Yingcai Wu (Zhejiang University, China)",TIVEE: Visual Exploration and Explanation of Badminton Tactics in Immersive Visualizations,111100a118.pdf
10.1109/TVCG.2021.3114810,2021,"Carla Floricel (University of Illinois at Chicago, USA), Nafiul Nipu (University of Illinois at Chicago, USA), Mikayla Biggs (University of Iowa, USA), Andrew Wentzel (University of Illinois at Chicago, USA), Guadalupe Canahuate (University of Iowa, USA), Lisanne Van Dijk (MD Anderson Cancer Center at the University of Texas, USA), Abdallah Mohamed (MD Anderson Cancer Center at the University of Texas, USA), C. David Fuller (MD Anderson Cancer Center at the University of Texas, USA), G. Elisabeta Marai (University of Illinois at Chicago, USA)",THALIS: Human-Machine Analysis of Longitudinal Symptoms in Cancer Therapy,111100a151.pdf
10.1109/TVCG.2021.3114840,2021,"Qianwen Wang (Harvard University, USA), Tali Mazor (Dana-Farber Cancer Institute, USA), Theresa Harbig (University of Tubingen, Germany), Ethan Cerami (Dana-Farber Cancer Institute, USA), Nils Gehlenborg (Harvard University, USA)",ThreadStates: State-Based Visual Analysis of Disease Progression,111100a248.pdf
10.1109/TVCG.2021.3114766,2021,"Devin Lange (University of Utah), Eddie Polanco (University of Utah), Robert Judson-Torres (University of Utah), Thomas Zangle (University of Utah), Alexander Lex (University of Utah)",Loon: using Exemplars to Visualize Large-Scale Microscopy Data,111100a258.pdf
10.1109/TVCG.2021.3114786,2021,"Jared Jessup (Harvard University, USA), Robert Krueger (Harvard University, USA), Simon Warchol (Harvard University, USA), John Hoffer (Harvard University, USA), Jeremy Muhlich (Harvard University, USA), Cecily C. Ritch (Brigham and Women's Hospital, USA), Giorgio Gaglia (Brigham and Women's Hospital, USA), Shannon Coy (Brigham and Women's Hospital, USA), Yu-An Chen (Harvard University, USA), Jia-Ren Lin (Harvard University, USA), Sandro Santagata (Brigham and Women's Hospital, USA), Peter K. Sorger (Harvard University, USA), Hanspeter Pfister (Harvard University, USA)",Scope2Screen: Focus+Context Techniques for Pathology Tumor Assessment in Multivariate Image Data,111100a269.pdf
10.1109/TVCG.2021.3114857,2021,"Huan Song (Bosch Research, USA), Zeng Dai (ByteDance Inc. USA), Panpan Xu (Amazon AWS AI, USA), Liu Ren (Bosch Research, USA)",Interactive Visual Pattern Search on Graph Data via Graph Representation Learning,111100a345.pdf
10.1109/TVCG.2021.3114866,2021,"Tom Horak (Technische Universität Dresden, Germany), Norine Coenen (CISPA Helmholtz Center for Information Security, Germany), Niklas Metzger (CISPA Helmholtz Center for Information Security, Germany), Christopher Hahn (CISPA Helmholtz Center for Information Security, Germany), Tamara Flemisch (Technische Universität Dresden, Germany), Julián Méndez (Technische Universität Dresden, Germany), Dennis Dimov (Technische Universität Dresden, Germany), Bernd Finkbeiner (CISPA Helmholtz Center for Information Security, Germany), Raimund Dachselt (Technische Universität Dresden, Germany)",Visual Analysis of Hyperproperties for Understanding Model Checking Results,111100a367.pdf
10.1109/TVCG.2021.3114850,2021,"Tiankai Xie (Arizona State University, Tempe, Arizona, United States), Yuxin Ma (Southern University of Science and Technology, China), Jian Kang (University of Illinois at Urbana-Champaign, Champaign, Illinois, United States), Hanghang Tong (University of Illinois at Urbana-Champaign, Urbana, Illinois, United States), Ross Maciejewski (Arizona State University, Tempe, Arizona, United States)",FairRankVis: A Visual Analytics Framework for Exploring Algorithmic Fairness in Graph Mining Models,111100a378.pdf
10.1109/TVCG.2021.3114836,2021,"Furui Cheng (The Hong Kong University of Science and Technology, China), Dongyu Liu (Massachusetts Institute of Technology, USA), Fan Du (Adobe Research, USA), Yanna Lin (The Hong Kong University of Science and Technology, China), Alexandra Zytek (Massachusetts Institute of Technology, USA), Haomin Li (Zhejiang University, China), Huamin Qu (The Hong Kong University of Science and Technology, China), Kalyan Veeramachaneni (Massachusetts Institute of Technology, USA)",VBridge: Connecting the Dots Between Features and Data to Explain Healthcare Models,111100a388.pdf
10.1109/TVCG.2021.3114790,2021,"Yifang Wang (The Hong Kong University of Science and Technology, Hong Kong), Tai-Quan Peng (Michigan State University, USA), Huihua Lu (Zhejiang University, China), Haoren Wang (Zhejiang University, China), Xiao Xie (Zhejiang University, China), Huamin Qu (The Hong Kong University of Science and Technology, Hong Kong), Yingcai Wu (Zhejiang University, China)",Seek for Success: A Visualization Approach for Understanding the Dynamics of Academic Careers,111100a485.pdf
10.1109/TVCG.2021.3114820,2021,"Arpit Narechania (Georgia Tech), Alireza Karduni (UNC-Charlotte), Ryan Wesslen (UNC-Charlotte), Emily Wall (Emory University)",VITALITY: Promoting Serendipitous Discovery of Academic Literature with Transformers & Visual Analytics,111100a496.pdf
10.1109/TVCG.2021.3114789,2021,"Kevin Maher (Institute of Software, Chinese Academy of Sciences, China;Tsinghua University, China), Zeyuan Huang (Institute of Software, Chinese Academy of Sciences, China; University of Chinese Academy of Sciences, China), Jiancheng Song (Institute of Software, Chinese Academy of Sciences, China; University of Chinese Academy of Sciences, China), Xiaoming Deng (Institute of Software, Chinese Academy of Sciences, China; University of Chinese Academy of Sciences, China), Yu-Kun Lai (Cardiff University, United Kingdom), Cuixia Ma (Institute of Software, Chinese Academy of Sciences, China; University of Chinese Academy of Sciences, China), Hao Wang (Alibaba Group, China), Yong-Jin Liu (Tsinghua University, China), Hongan Wang (Institute of Software, Chinese Academy of Sciences, China; University of Chinese Academy of Sciences, China)",E-ffective: A Visual Analytic System for Exploring the Emotion and Effectiveness of Inspirational Speeches,111100a518.pdf
